"player","player_alt","similarity"
"Nikita Kiryanov","Nikita Buruyanov",0.107
"Gabriel Fontaine","Gabriel Fortier",0.107
"Alexandre Fortin","Alexander Gordin",0.107
"Alexandre Fortin","Alexander Gordin",0.107
"Tyler Busch","Tyler Boucher",0.107
"Hugo Danielsson","Hugo Gabrielsson",0.107
"Alexander Oskin","Alexander Pashin",0.107
"Hugo Danielsson","Hugo Gabrielsson",0.107
"Emil Westerlund","Filip Westerlund",0.107
"Alex Swetlikoff","Blake Swetlikoff",0.107
"Alexander Gordin","Alexandre Fortin",0.107
"Wilson Johansson","Simon Johansson",0.107
"Samuel Mayer","Samuel Harvey",0.109
"Michael Karow","Michael Fora",0.109
"Sergei Boikov","Sergei Bolshakov",0.109
"Oliver Moberg","Oliver Moore",0.109
"Oliver Moore","Oliver Moberg",0.109
"Michael Fora","Michael Karow",0.109
"Jordan Maher","Jordan Martel",0.109
"Jordan Maher","Jordan Martel",0.109
"Sergei Bolshakov","Sergei Boikov",0.109
"Jordan Martel","Jordan Maher",0.109
"Jordan Martel","Jordan Maher",0.109
"Samuel Harvey","Samuel Mayer",0.109
"Samuel Johannesson","Samuel Jonsson",0.11
"Ryan Poehling","Ryan Pilon",0.11
"Ryan Pilon","Ryan Poehling",0.11
"Samuel Johannesson","Samuel Jonsson",0.11
"Samuel Jonsson","Samuel Johannesson",0.11
"Samuel Jonsson","Samuel Johannesson",0.11
"Yegor Kuimov","Yegor Naumov",0.111
"Connor Kurth","Connor Korte",0.111
"Ilya Morozov","Ivan Morozov",0.111
"Ilya Fedotov","Ivan Fedotov",0.111
"Yegor Naumov","Yegor Kuimov",0.111
"Yegor Naumov","Yegor Kuimov",0.111
"Ivan Morozov","Ilya Morozov",0.111
"Andrew Peeke","Andrew Peski",0.111
"Ivan Fedotov","Ilya Fedotov",0.111
"David Ma","David Madsen",0.111
"David Ma","David Mudrak",0.111
"Connor Kurth","Connor Korte",0.111
"Michal Klimo","Michal Simon",0.111
"Yegor Kuimov","Yegor Naumov",0.111
"Connor Korte","Connor Kurth",0.111
"Connor Korte","Connor Kurth",0.111
"Ryan Stepien","Ryan Stevens",0.111
"David Ma","David Madsen",0.111
"David Ma","David Mudrak",0.111
"Michal Rouha","Michal Roman",0.111
"Michal Simon","Michal Klimo",0.111
"Andrew Peski","Andrew Peeke",0.111
"Alexander Zhebelev","Alexander Zhabreyev",0.111
"Michal Roman","Michal Rouha",0.111
"Kirill Zotov","Kirill Popov",0.111
"Kirill Popov","Kirill Zotov",0.111
"Alexander Zhabreyev","Alexander Zhebelev",0.111
"David Madsen","David Ma",0.111
"David Madsen","David Ma",0.111
"Ryan Stevens","Ryan Stepien",0.111
"David Mudrak","David Ma",0.111
"David Mudrak","David Ma",0.111
"Santeri Virtanen","Santeri Hartikainen",0.113
"Santeri Hartikainen","Santeri Virtanen",0.113
"Maxim Barbashev","Maxim Marushev",0.114
"Maxim Barbashev","Maxim Marushev",0.114
"Marcus Broberg","Marcus Karlberg",0.114
"Ludvig Bystrom","Ludvig Hedstrom",0.114
"Gavin O'Connell","Ryan O'Connell",0.114
"Maxim Marushev","Maxim Barbashev",0.114
"Marcus Karlberg","Marcus Broberg",0.114
"Ryan O'Connell","Gavin O'Connell",0.114
"Kristian Roykas-Marthinsen","Andreas Roykas-Marthinsen",0.114
"Kristian Roykas-Marthinsen","Andreas Roykas-Marthinsen",0.114
"Andreas Roykas-Marthinsen","Kristian Roykas-Marthinsen",0.114
"Andreas Roykas-Marthinsen","Kristian Roykas-Marthinsen",0.114
"Maxim Marushev","Maxim Barbashev",0.114
"Mitchell Brown","Mitchell Brewer",0.114
"Mitchell Brewer","Mitchell Brown",0.114
"Ludvig Hedstrom","Ludvig Bystrom",0.114
"Alexander Blank","Alexandre Alain",0.115
"Matthew Perkins","Matthew Beniers",0.115
"Matthew Beniers","Matthew Perkins",0.115
"Kirill Kirsanov","Kirill Kaprizov",0.115
"Zakhar Bardakov","Zakhar Zakharov",0.115
"Yegor Chinakhov","Yegor Chernikov",0.115
"Yegor Chinakhov","Yegor Chizhikov",0.115
"Kirill Kaprizov","Kirill Kirsanov",0.115
"Yegor Chernikov","Yegor Chinakhov",0.115
"Yegor Chernikov","Yegor Chinakhov",0.115
"Alexandre Alain","Alexander Blank",0.115
"Zakhar Zakharov","Zakhar Bardakov",0.115
"Yegor Chinakhov","Yegor Chernikov",0.115
"Yegor Chinakhov","Yegor Chizhikov",0.115
"Yegor Chizhikov","Yegor Chinakhov",0.115
"Yegor Chizhikov","Yegor Chinakhov",0.115
"Aatu Raty","Aku Raty",0.116
"Aku Raty","Aatu Raty",0.116
"Alexander Volkov","Alexander Samoilov",0.116
"Alexander Volkov","Alexander Samoilov",0.116
"Alexander Sharov","Alexander Samoilov",0.116
"Alexander Samoilov","Alexander Volkov",0.116
"Alexander Samoilov","Alexander Volkov",0.116
"Alexander Samoilov","Alexander Sharov",0.116
"Tyler Duke","Tyler Tucker",0.117
"Alexander Pelevin","Alexander Pavlenko",0.117
"James Stefan","James Swan",0.117
"James Swan","James Stefan",0.117
"James Swan","James Stefan",0.117
"James Swan","James McEwan",0.117
"Robert Orr","Robert Arrak",0.117
"Alex Gagne","Alex Gaffney",0.117
"Jan Bednar","Ryan Bednard",0.117
"Ryan Johnson","Ryan Jones",0.117
"Alexander Romanov","Alexander Samoilov",0.117
"Tyler Tucker","Tyler Duke",0.117
"Ryan Jones","Ryan Johnson",0.117
"David Kase","David Madsen",0.117
"Ryan Bednard","Jan Bednar",0.117
"Ryan Bednard","Jan Bednar",0.117
"Daniil Gutik","Daniil But",0.117
