"player","player_alt","similarity"
"Adam Mascherin","Adam Marsh",0.145
"Adam Mascherin","Adam Mechura",0.145
"Michael Eyssimont","Michal Simon",0.145
"Adam Marsh","Adam Mascherin",0.145
"Adam Marsh","Adam Mascherin",0.145
"Sam Sedley","Sam Steel",0.145
"Adam Mechura","Adam Mascherin",0.145
"Adam Mechura","Adam Mascherin",0.145
"Connor Korte","Connor Roberts",0.145
"Adam Bares","Adam Berg",0.145
"Adam Bares","Adam Berg",0.145
"Michal Simon","Michael Eyssimont",0.145
"Adam Berg","Adam Bares",0.145
"Adam Berg","Adam Bares",0.145
"Connor Roberts","Connor Korte",0.145
"Jonathan Mor","Jonathan Sorenson",0.145
"Nikita Sedov","Nikita Alexandrov",0.145
"Jonathan Sorenson","Jonathan Mor",0.145
"Nicholas Moldenhauer","Nicolas Meloche",0.146
"Matthew Strome","Matthew Struthers",0.146
"Nicolas Meloche","Nicholas Moldenhauer",0.146
"Matthew Struthers","Matthew Strome",0.146
"William Soderlund","William Somers",0.146
"Alexandre Alain","Alexandros Aslanidis",0.146
"William Somers","William Soderlund",0.146
"Alexandros Aslanidis","Alexandre Alain",0.146
"Alexander Muromtsev","Alexander Bjurstrom",0.147
"Alexander Muromtsev","Alexander Bjurstrom",0.147
"Alexander Kisakov","Alexander Yakovenko",0.147
"Alexander Kisakov","Alexander Yakovenko",0.147
"Patrik Siikanen","Patrik Laine",0.147
"Patrik Laine","Patrik Siikanen",0.147
"Alexander Yakovenko","Alexander Kisakov",0.147
"Alexander Bjurstrom","Alexander Muromtsev",0.147
"Alexander Bjurstrom","Alexander Muromtsev",0.147
"Alexander Yakovenko","Alexander Kisakov",0.147
"Alexander Suzdalev","Alexander Samoilov",0.148
"Michael Buchinger","Michael Burchill",0.148
"Samuel Harris","Samuel Girard",0.148
"Hugo Havelid","Hugo Hell",0.148
"Jacob Mathieu","Jacob Maillet",0.148
"Maxim Muranov","Maxim Mayorov",0.148
"Nick Ring","Nick Wong",0.148
"Nick Ring","Jack Ring",0.148
"William Wallinder","William Wia",0.148
"Jan Mysak","Jan Mlcak",0.148
"Roni Hirvonen","Roni Karvinen",0.148
"Zac Jones","Max Jones",0.148
"Nathan Legare","Nathan Larose",0.148
"Andre Lee","Andrew Peeke",0.148
"Jack Gorniak","Jack York",0.148
"Filip Chytil","Filip Ahl",0.148
"Max Jones","Zac Jones",0.148
"Andrew Peeke","Andre Lee",0.148
"Samuel Girard","Samuel Harris",0.148
"Filip Ahl","Filip Chytil",0.148
"Noah Hasa","Noah Laba",0.148
"Jacob Maillet","Jacob Mathieu",0.148
"Johan Persson","Josh Paterson",0.148
"Johan Persson","Josh Paterson",0.148
"Roni Karvinen","Roni Hirvonen",0.148
"Nick Wong","Nick Ring",0.148
"Michael Burchill","Michael Buchinger",0.148
"Hugo Hell","Hugo Havelid",0.148
"Josh Paterson","Johan Persson",0.148
"William Wia","William Wallinder",0.148
"Alexander Samoilov","Alexander Suzdalev",0.148
"Josh Paterson","Johan Persson",0.148
"Noah Laaouan","Noah Laba",0.148
"Nathan Larose","Nathan Legare",0.148
"Jack York","Jack Gorniak",0.148
"Jan Mlcak","Jan Mysak",0.148
"Jack Ring","Nick Ring",0.148
"Noah Laba","Noah Hasa",0.148
"Noah Laba","Noah Laaouan",0.148
"Maxim Mayorov","Maxim Muranov",0.148
"Owen Baker","Owen Parker",0.149
"Alexander Blank","Alexander Palchik",0.149
"Michael Emerson","Michael Eyssimont",0.149
"Alexander Fesenko","Alexander Oskin",0.149
"Christian Kyrou","Christian Krygier",0.149
"Sebastian Nahalka","Sebastian Malat",0.149
"Alexander Pelevin","Alexandre Alain",0.149
"Jan Spunar","Jan Sprynar",0.149
"Sebastian Cossa","Sebastian Ohlsson",0.149
"Jack Finley","Jack Flinn",0.149
"Christian Krygier","Christian Kyrou",0.149
"Michael Eyssimont","Michael Emerson",0.149
"Alexandre Carrier","Alexander Krief",0.149
"Alexander Palchik","Alexander Blank",0.149
"Alexandre Alain","Alexander Pelevin",0.149
"Sebastian Malat","Sebastian Nahalka",0.149
"Owen Parker","Owen Baker",0.149
"Jackson Parsons","Jackson Glassford",0.149
"Jan Sprynar","Jan Spunar",0.149
"Jack Flinn","Jack Finley",0.149
"Sebastian Ohlsson","Sebastian Cossa",0.149
"Alexander Krief","Alexandre Carrier",0.149
"Alexander Oskin","Alexander Fesenko",0.149
"Jackson Glassford","Jackson Parsons",0.149
