stan_id,player_id,player,last_name,first_name,draft_year,pos_broad,pos_spec,primary_league,primary_region,continent,nation_origin,nation_compete,prop_sr,height_z,age_split
300,2019_386966,Martin Beranek,Beranek,Martin,2019,F,W,Czechia2,Czechia,Europe,EUR,EUR,1,-0.133675642579744,Early
301,2019_387330,Mathew Hill,Hill,Mathew,2019,D,LHD,OHL,Ontario,North America,CAN,CAN,0,1.1063538965700945,Early
302,2019_387331,Daniel D'Amico,D'Amico,Daniel,2019,F,W,OHL,Ontario,North America,CAN,CAN,0,-1.4583892176943163,Early
303,2019_387643,Carter Gylander,Gylander,Carter,2019,G,G,AJHL,Western Canada,North America,CAN,CAN,0,1.3308120184202508,Early
304,2019_388094,Patrik Prymula,Prymula,Patrik,2019,F,W,Czechia U19,Czechia,Europe,EUR,EUR,0,3.012519098317365,Early
305,2019_388196,Oliver Turan,Turan,Oliver,2019,D,RHD,QMJHL,Quebec/Atlantic Canada,North America,EUR,CAN,0,1.5996825804805206,Early
306,2019_388216,Michal Mrazik,Mrazik,Michal,2019,F,F,J20 SuperElit,Sweden,Europe,EUR,SWE,0,1.6878055232027929,Early
307,2019_388979,Shane Pinto,Pinto,Shane,2019,F,C,USHL,USA,North America,USA,USA,0,0.8598595387561853,Late
308,2019_389171,Jiri Suhrada,Suhrada,Jiri,2019,D,LHD,U20 SM-liiga,Finland,Europe,EUR,FIN,0,0.6130252126596686,Early
309,2019_392063,Vadim Antipin,Antipin,Vadim,2019,D,LHD,MHL,Russia,Europe,RUS,RUS,0,1.2707967912069034,Late
310,2019_392486,David Karlstrom,Karlstrom,David,2019,F,F,J20 SuperElit,Sweden,Europe,SWE,SWE,0,0.36309194808822065,Early
311,2019_392582,Grigory Gryaznov,Gryaznov,Grigory,2019,D,LHD,MHL,Russia,Europe,RUS,RUS,0,0.2841394233860512,Overage
312,2019_392591,Artyom Zhuk,Zhuk,Artyom,2019,F,F,MHL,Russia,Europe,EUR,RUS,0.07272727272727272,-0.46485403635838707,Overage
313,2019_392594,Timur Ibragimov,Ibragimov,Timur,2019,F,W,MHL,Russia,Europe,RUS,RUS,0,-0.133675642579744,Late
314,2019_394585,Ilya Altybarmakyan,Altybarmakyan,Ilya,2019,F,F,MHL,Russia,Europe,RUS,RUS,0,0.03191355430957755,Late
315,2019_394770,Lev Starikov,Starikov,Lev,2019,D,LHD,OHL,Ontario,North America,RUS,CAN,0,2.2574541590277555,Late
316,2019_394933,Parker Ford,Ford,Parker,2019,F,F,USHL,USA,North America,USA,USA,0,-1.4583892176943163,Overage
317,2019_395069,Anttoni Honka,Honka,Anttoni,2019,D,RHD,Mestis,Finland,Europe,FIN,FIN,0.9016393442622951,-1.195846628345227,Late
318,2019_395081,Henri Nikkanen,Nikkanen,Henri,2019,F,C,U20 SM-liiga,Finland,Europe,FIN,FIN,0.44,1.6878055232027929,Early
319,2019_395086,Wiljami Myllyla,Myllyla,Wiljami,2019,F,W,U20 SM-liiga,Finland,Europe,FIN,FIN,0,-0.2992648394690655,Early
320,2019_395111,Roman Sinitsyn,Sinitsyn,Roman,2019,D,LHD,MHL,Russia,Europe,RUS,RUS,0,0.2841394233860512,Late
321,2019_395123,Alexander Daryin,Daryin,Alexander,2019,F,W,MHL,Russia,Europe,RUS,RUS,0,-0.6304432332477086,Overage
322,2019_395127,Daniil Misyul,Misyul,Daniil,2019,D,LHD,MHL,Russia,Europe,RUS,RUS,0.13846153846153847,0.7774681072964773,Late
323,2019_395424,Kalle Loponen,Loponen,Kalle,2019,D,RHD,Mestis,Finland,Europe,FIN,FIN,0.6491228070175439,-0.8669608390716096,Early
324,2019_395509,Aku Raty,Raty,Aku,2019,F,W,U20 SM-liiga,Finland,Europe,FIN,FIN,0,0.03191355430957755,Early
325,2019_395512,Tuukka Tieksola,Tieksola,Tuukka,2019,F,W,U20 SM-liiga,Finland,Europe,FIN,FIN,0.015873015873015872,-0.7960324301370302,Early
326,2019_395514,Kari Piiroinen,Piiroinen,Kari,2019,G,G,OHL,Ontario,North America,FIN,CAN,0,-0.5513364076312437,Early
327,2019_395520,Marcus Kallionkieli,Kallionkieli,Marcus,2019,F,W,USHL,USA,North America,FIN,USA,0,0.6942703418668638,Early
328,2019_395628,Lev Komissarov,Komissarov,Lev,2019,F,C,VHL,Russia,Europe,RUS,RUS,0.7164179104477612,-0.133675642579744,Overage
329,2019_395855,Andrei Pribylsky,Pribylsky,Andrei,2019,D,RHD,KHL,Russia,Europe,RUS,RUS,0.6956521739130435,-1.195846628345227,Late
330,2019_395866,Vladislav Mikhailov,Mikhailov,Vladislav,2019,F,C,MHL,Russia,Europe,RUS,RUS,0.2777777777777778,0.6942703418668638,Late
331,2019_395886,Aleksei Sergeev,Sergeev,Aleksei,2019,F,C,QMJHL,Quebec/Atlantic Canada,North America,RUS,CAN,0,-0.9616216270263517,Overage
332,2019_396170,Antti Tuomisto,Tuomisto,Antti,2019,D,RHD,U20 SM-liiga,Finland,Europe,FIN,FIN,0,1.435239685843712,Early
333,2019_396630,Antti Saarela,Saarela,Antti,2019,F,F,Liiga,Finland,Europe,FIN,FIN,0.5714285714285714,-0.6304432332477086,Early
334,2019_396655,Kaapo Kakko,Kakko,Kaapo,2019,F,W,Liiga,Finland,Europe,FIN,FIN,1,1.0254487356455069,Early
335,2019_396656,Juuso Parssinen,Parssinen,Juuso,2019,F,F,U20 SM-liiga,Finland,Europe,FIN,FIN,0.15217391304347827,0.6942703418668638,Early
336,2019_396657,Aarne Intonen,Intonen,Aarne,2019,F,C,U20 SM-liiga,Finland,Europe,FIN,FIN,0,-0.2992648394690655,Early
337,2019_396889,Danil Bashkirov,Bashkirov,Danil,2019,F,C,MHL,Russia,Europe,RUS,RUS,0,1.1910379325348284,Early
338,2019_397001,Jami Krannila,Krannila,Jami,2019,F,F,USHL,USA,North America,FIN,USA,0,-0.9616216270263517,Late
339,2019_397004,Patrik Puistola,Puistola,Patrik,2019,F,W,Mestis,Finland,Europe,FIN,FIN,0.647887323943662,-0.133675642579744,Early
340,2019_397011,Santeri Hatakka,Hatakka,Santeri,2019,D,LHD,U20 SM-liiga,Finland,Europe,FIN,FIN,0,-0.20918926052437484,Early
341,2019_397016,Mico Luoto,Luoto,Mico,2019,D,LHD,U20 SM-liiga,Finland,Europe,FIN,FIN,0,-1.0314037337084183,Early
342,2019_398121,Emil Malysjev,Malysjev,Emil,2019,D,LHD,WHL,Western Canada,North America,SWE,CAN,0,1.2707967912069034,Early
343,2019_398144,Nikita Okhotyuk,Okhotyuk,Nikita,2019,D,LHD,OHL,Ontario,North America,RUS,CAN,0,-0.20918926052437484,Late
344,2019_398168,Pavel Dorofeyev,Dorofeyev,Pavel,2019,F,W,KHL,Russia,Europe,RUS,RUS,0.5510204081632653,0.1975027511988991,Late
345,2019_398223,Kirill Tyutyayev,Tyutyayev,Kirill,2019,F,F,MHL,Russia,Europe,RUS,RUS,0,-0.9616216270263517,Overage
346,2019_398447,Nikita Vashchenko,Vashchenko,Nikita,2019,D,LHD,MHL,Russia,Europe,RUS,RUS,0,-0.20918926052437484,Early
347,2019_398450,Artemi Knyazev,Knyazev,Artemi,2019,D,LHD,QMJHL,Quebec/Atlantic Canada,North America,RUS,CAN,0,-0.7025179444348009,Early
348,2019_398544,Danil Savunov,Savunov,Danil,2019,F,F,VHL,Russia,Europe,RUS,RUS,0.703125,-0.9616216270263517,Late
349,2019_399352,Mason Snell,Snell,Mason,2019,D,LHD,BCHL,Western Canada,North America,CAN,CAN,0,-0.5380750497979923,Overage
350,2019_400134,Bryce Brodzinski,Brodzinski,Bryce,2019,F,W,USHS-MN,USA,North America,USA,USA,0,-0.133675642579744,Overage
351,2019_400302,Davide Fadani,Fadani,Davide,2019,G,G,Elite Jr. A,Switzerland,Europe,EUR,EUR,0,-1.3878468192096856,Early
